31_1	What is throat cancer?
51_9	What happens if it’s not used?
51_10	How does a ESA compare?
52_1	Describe the Afra tanker scale.
52_2	Why was it developed?
52_3	What are supertankers?
52_4	Describe their invention.
52_5	What are the important factors led to their development?
52_6	What was the role of the Six-Day War?
52_7	How many barrels can a VLCC ship carry?
52_8	What is the largest in the world?
52_9	What new problem did increased scale create?
52_10	Describe crude oil washing.
53_1	Is Red Bull bad for you?
53_2	Can it kill you?
53_3	How much can you drink in a day?
53_4	What is taurine?
53_5	What are its health effects?
53_6	In general, what are the effects of consuming energy drinks?
53_7	Why are they harmful when mixed with alcohol?
53_8	What is the argument for their age restriction to kids?
53_9	Where are they banned to minors?
54_1	What is worth seeing in Washington D.C.?
54_2	Which Smithsonian museums are the most popular?
54_3	Why is the National Air and Space Museum important?
54_4	Is the Spy Museum free?
54_5	What is there to do in DC after the museums close?
54_6	What is the best time to visit the reflecting pools?
54_7	Are there any famous foods?
54_8	What is a DC half smoke?
54_9	Tell me about its history.
55_1	Describe the oceanic crust.
55_2	What are the main layers?
55_3	How does it differ from the continental crust?
55_4	Which is younger and why?
55_5	Where is the youngest oceanic found?
55_6	What about the oldest?
55_7	What is seafloor spreading?
55_8	What is its significance?
55_9	How is ocean crust formed?
55_10	Is it being recycled?
56_1	What is Darwin’s theory in a nutshell?
56_2	How was it developed? 
56_3	How do sexual and asexual reproduction affect it?
56_4	How can fossils be used to understand it?
56_5	What is modern evidence for it? 
56_6	What is the impact on modern biology?
56_7	Compare and contrast microevolution and macroevolution.
56_8	What is the relationship to speciation?
57_1	How can you tell if someone is suffering from depression?
57_2	What are common types?
57_3	What causes it?
57_4	What is the role of brain chemicals?
57_5	Does a lack of sunlight cause it?
57_6	How can you treat SAD?
57_7	What is the role of melatonin?
57_8	How are anxiety and depression related?
57_9	What treatments exist for depression?
57_10	What is CBT and how does it work?
58_1	What is a real-time database?
58_2	How does it differ from traditional ones?
58_3	What are the advantages of real-time processing?
58_4	What are examples of important ones?
58_5	What are important applications?
58_6	What are important cloud options?
58_7	Tell me about the Firebase DB.
58_8	How is it used in mobile apps?
59_1	Which weekend sports have the most injuries?
59_2	What are the most common types of injuries? 
59_3	What is the ACL?
59_4	What is an injury for it?
59_5	Tell me about the RICE method.
59_6	Is there disagreement about it?
59_7	What is arnica used for?
59_8	What are some ways to avoid injury?
60_1	Tell me about the benefits of yoga.
60_2	Does it help in reducing stress?
60_3	What are some of the main types?
60_4	What type is best for losing weight?
60_5	What are common poses in Bikram yoga?
60_6	Why is mindful breathing important?
60_7	Does it help relieve asthma?
61_1	Who are The Avengers?
61_2	Tell me about their first appearance.
61_3	Who is the most powerful and why? 
61_4	What is the relationship of Spider-Man to the team?
61_5	Why is Batman not a member? 
61_6	What is an important team in the DC universe? 
61_7	Tell me about the origins of the Justice League.
61_8	Who are the important members?
61_9	Which team came first?
62_1	What is the Surrealism movement in art?
62_2	What are its characteristics?
62_3	Tell me about its founding.
62_4	Tell me about the series of manifestos.
62_5	How is it different from Dada?
62_6	What is its importance?
62_7	Who are the most famous artists? 
62_8	Why did Dali choose surrealism?
62_9	What are his most iconic works?
62_10	Is it still used today?
62_11	What has its impact been on other fields?
63_1	What is blockchain?
63_2	What problem does it solve?
63_3	How does it work?
63_4	What are the types of networks?
63_5	Tell me about its invention.
63_6	How is it related to cryptocurrencies?
63_7	How is Bitcoin generated? 
63_8	How secure is blockchain?
63_9	What are its other uses in business?
63_10	What are the implications for society?
64_1	What are the types of pork ribs?
64_2	What are baby backs?
64_3	What are the differences with spareribs?
64_4	What are ways to cook them? 
64_5	How about on the bbq?
64_6	Describe the 321 method.
64_7	How long do they take to smoke?
64_8	How do you know when they are done?
64_9	What is in a typical rub?
64_10	What’s the best style of sauce for them? 
64_11	What’s in Kansas City style sauce?
65_1	What is nominal GDP?
65_2	Why is it not a good measure?
65_3	What is the difference with real?
65_4	How is it related to gross national income?
65_5	What is the meaning of GNI?
65_6	How is inflation affected by high GDP growth? 
65_7	What is the relationship between inflation and unemployment?
65_8	What is frictional unemployment and why is it important?
65_9	Is it bad for the economy?
65_10	How can the government reduce its level?
66_1	Tell me about lavender plants.
66_2	What are the different types?
66_3	What places are famous for them?
66_4	Are they safe to eat?
66_5	What variety is best for cooking?
66_6	How is it used? 
66_7	What is it good with?
66_8	What are the health benefits of its oil?
66_9	Are there any side effects?
67_1	Why is blood red?
67_2	What are red blood cells?
67_3	How are they created?
67_4	How is oxygen transported?
67_5	What is anemia?
67_6	What are the symptoms?
67_7	Can it go away?
67_8	What are its possible causes?
67_9	How is it treated?
67_10	What foods contain high levels of iron?
67_11	What improves absorption?
68_1	What is cuisine is Emilia-Romagna famous for?
68_2	Tell me about cooking schools and classes.
68_3	What are famous foods from the region?
68_4	Describe the traditional process for making balsamic vinegar?
68_5	What is mortadella and where is it from?
68_6	What’s the difference with Bologna?
68_7	Where was Parmesan cheese created?
68_8	What is done with the whey after production?
68_9	What are typical pasta dishes?
68_10	What is the history of tagliatelle al ragu bolognese?
68_11	What are its common variations?
69_1	How do you sleep after jet lag?
69_2	Does melatonin help?
69_3	How was it discovered?
69_4	What are good sources in food?
69_5	Is melatonin bad for you?
69_6	What are the side effects?
69_7	Why does it require a prescription in the UK?
69_8	How can I increase my levels naturally?
69_9	Is it effective for treating insomnia?
69_10	How about for anxiety?
70_1	What is solar energy?
70_2	What are its main uses?
70_3	Why is it important?
70_4	What are advantages of solar energy?
70_5	What is the cost of solar power?
70_6	How is being used in rural Africa?
70_7	Tell me more about solar cookers work.
70_8	How is solar used in architecture?
70_9	What are important projects? 
70_10	Can it be used to power cars?
71_1	What are mammals?
71_2	What are their key characteristics?
71_3	How many legs do they have?
71_4	What is the largest one on land?
71_5	What is the largest in the world?
71_6	What about in the UK?
71_7	What about the largest to ever walk the earth?
71_8	Tell me about Blue whales. 
71_9	How much do they weigh?
71_10	Where do they live?
71_11	What do they eat?
71_12	Where can we see them?
72_1	What do Spanish people do on Christmas day?
72_2	What do they eat for dinner?
72_3	How about on Christmas eve?
72_4	What is the Christmas Lottery?
72_5	How does the drawing work?
72_6	How are the tickets sold?
72_7	What is Tió de Nadal?
72_8	How did this tradition start?
72_9	How do they celebrate Three Kings Day?
72_10	What cakes are traditional?
73_1	Who is the most successful pirate of all time?
73_2	Who is the most famous female?
73_3	Tell me more about Ching Shih.
73_4	What were her code of laws?
73_5	How did she die?
73_6	Who was Anne Bonny?
73_7	What was she famous for?
73_8	Who was she married to?
73_9	How did Calico Jack die?
73_10	What happened to Anne?
74_1	What are the pros and cons of electric cars?
74_2	Tell me more about Tesla.
74_3	Why did Elon Musk start it?
74_4	What models are available?
74_5	What is the best selling?
74_6	What is unique about the Model 3?
74_7	What are the safety features?
74_8	Why is it building Gigafactories?
74_9	What makes the batteries unique?
74_10	How long can they last?
74_11	Tell me more about autopilot.
74_12	Does it support full self-driving?
75_1	Why do turkey and Turkey share the same name?
75_2	Where are turkeys from?
75_3	What was their importance in native cultures?
75_4	When and how were they domesticated?
75_5	Can they fly?
75_6	Why did Ben Franklin want it to be the national symbol?
75_7	How did he cook it?
75_8	Why is it eaten on Thanksgiving?
75_9	How did it become traditional for Christmas dinner in Britain? 
75_10	When did they become popular?
76_1	What are important literary elements?
76_2	What is the difference between them and literary devices?
76_3	What is a genre?
76_4	What are the most important ones?
76_5	What is a trope?
76_6	What are important examples in fantasy?
76_7	What is the definition of allegory?
76_8	What are some important modern uses?
76_9	What are the different types of foreshadowing?
76_10	What is an example?
77_1	What's the difference between soup and stew?
77_2	Is chilli a stew?
77_3	How about goulash?
77_4	What are popular ones in France?
77_5	How is cassoulet made?
77_6	Tell me about feijoada and its significance.
77_7	How is it similar or different from cassoulet?
77_8	Tell about Bigos stew.
77_9	Why is it important?
77_10	What is the history of Irish stew?
78_1	What is the keto diet?
78_2	Why was it original developed?
78_3	What is ketosis?
78_4	What is paleo?
78_5	What do they have in common?
78_6	How are they different?
78_7	What is intermittent fasting?
78_8	How is it related to keto?
78_9	What is the 16/8 method?
78_10	What is the best for weight loss?
79_1	What is taught in sociology?
79_2	What is the main contribution of Auguste Comte?
79_3	What is the role of positivism in it?
79_4	What is Herbert Spencer known for?
79_5	How is his work related to Comte?
79_6	What is the functionalist theory?
79_7	What is its main criticism?
79_8	How does it compare to conflict theory?
79_9	What are modern examples of conflict theory?
80_1	What were the purposes of the Lewis and Clark expedition?
80_2	What were important plants and animals they discovered?
80_3	What were the diplomatic objectives?
80_4	What were the Native American tribes that they encountered?
80_5	How did Sacagawea help them?
80_6	Did they find the Northwest Passage?
80_7	What was the purpose of Fort Mandan?
80_8	How did they spend the next winter?
80_9	What happened to Fort Clatsop?
80_10	What was the impact of the expedition?
